Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
A0A2R4KP93	A0A2R4KP93_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1349	
A0A6B9WHD3	A0A6B9WHD3_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Bat coronavirus RaTG13	1269	
A0A6G6A1M4	A0A6G6A1M4_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Pangolin coronavirus	1267	
A0A6M3G9R1	A0A6M3G9R1_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Pangolin coronavirus	1265	
A3EX94	SPIKE_BCHK4	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus HKU4 (BtCoV) (BtCoV/HKU4/2004)	1352	Tylonycteris pachypus (Lesser bamboo bat) (Vespertilio pachypus) [TaxID: 258959]
A3EXD0	SPIKE_BCHK5	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus HKU5 (BtCoV) (BtCoV/HKU5/2004)	1352	Pipistrellus abramus (Japanese pipistrelle) (Pipistrellus javanicus abramus) [TaxID: 105295]
A3EXG6	SPIKE_BCHK9	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus HKU9 (BtCoV) (BtCoV/HKU9)	1274	Rousettus leschenaultii (Leschenault's rousette) [TaxID: 9408]
K0BRG7	K0BRG7_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human betacoronavirus 2c EMC/2012	1353	
K9N5Q8	SPIKE_MERS1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	1353	Camelus dromedarius (Dromedary) (Arabian camel) [TaxID: 9838]; Homo sapiens (Human) [TaxID: 9606]
P0DTC2	SPIKE_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
P11223	SPIKE_IBVB	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Avian infectious bronchitis virus (strain Beaudette) (IBV)	1162	Gallus gallus (Chicken) [TaxID: 9031]
P11224	SPIKE_CVMA5	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus)	1324	Mus musculus (Mouse) [TaxID: 10090]
P11225	SPIKE_CVMJH	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus)	1235	Mus musculus (Mouse) [TaxID: 10090]
P12651	SPIKE_IBVM	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Avian infectious bronchitis virus (strain M41) (IBV)	1162	Gallus gallus (Chicken) [TaxID: 9031]
P15423	SPIKE_CVH22	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S 2	Human coronavirus 229E (HCoV-229E)	1173	Homo sapiens (Human) [TaxID: 9606]
P15777	SPIKE_CVBM	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain Mebus) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P22432	SPIKE_CVM4	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain 4) (MHV-4) (Murine hepatitis virus)	1376	Mus musculus (Mouse) [TaxID: 10090]
P25190	SPIKE_CVBF	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain F15) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P25191	SPIKE_CVBL9	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain L9) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P25192	SPIKE_CVBLY	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain LY-138) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P25193	SPIKE_CVBQ	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain Quebec) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P25194	SPIKE_CVBV	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Bovine coronavirus (strain vaccine) (BCoV) (BCV)	1363	Bos taurus (Bovine) [TaxID: 9913]
P36334	SPIKE_CVHOC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Human coronavirus OC43 (HCoV-OC43)	1353	Homo sapiens (Human) [TaxID: 9606]
P59594	SPIKE_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Severe acute respiratory syndrome coronavirus (SARS-CoV)	1255	Homo sapiens (Human) [TaxID: 9606]; Paguma larvata (Masked palm civet) [TaxID: 9675]
Q02385	SPIKE_CVMJC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 3	Murine coronavirus (strain JHMV / variant CL-2) (MHV) (Murine hepatitis virus)	1376	Mus musculus (Mouse) [TaxID: 10090]
Q0Q475	SPIKE_BC279	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus 279/2005 (BtCoV) (BtCoV/279/2005)	1241	Rhinolophus macrotis (Big-eared horseshoe bat) [TaxID: 196889]
Q0Q4F2	SPIKE_BC133	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S 2	Bat coronavirus 133/2005 (BtCoV) (BtCoV/133/2005)	1350	Tylonycteris pachypus (Lesser bamboo bat) (Vespertilio pachypus) [TaxID: 258959]
